,A,B,C
0,五十音,ヒエログリフ,文字コード
1,---,---,---
2,あ,𓄿,1313F
3,い,𓇌,131CC
4,う,𓅱,13171
5,え,𓇋,131CB
6,お,𓍯,1336F
7,か,𓎡𓄿,133A1　1313F
8,き,𓎡𓇌,133A1　131CC
9,く,𓎡𓅱,133A1　13171
10,け,𓎡 𓇋,133A1　131CB
11,こ,𓎡𓍯,133A1　1336F
12,さ,𓋴𓄿,132F4　1313F
13,し,𓐚𓇌,1341A　131CC
14,す,𓋴𓅱,132F4　13171
15,せ,𓋴𓇋,132F4　131CB
16,そ,𓋴𓍯,132F4　1336F
17,た,𓏏𓄿,133CF　1313F
18,ち,𓍿𓇌,1337F　131CC
19,つ,𓏏𓅱,133CF　13171
20,て,𓏏𓇋,133CF　131CB
21,と,𓏏𓍯,133CF　1336F
22,な,𓈖𓄿,13216　1313F
23,に,𓈖𓇌,13216　131CC
24,ぬ,𓈖𓅱,13216　13171
25,ね,𓈖𓇋,13216　131CB
26,の,𓈖𓍯,13216　1336F
27,は,𓉔𓄿,13254　1313F
28,ひ,𓉔𓇌,13254　131CC
29,ふ,𓆑𓅱,13191　13171
30,へ,𓉔𓇋,13254　131CB
31,ほ,𓉔𓍯,13254　1336F
32,ま,𓅓𓄿,13153　1313F
33,み,𓅓𓇌,13153　131CC
34,む,𓅓𓅱,13153　13171
35,め,𓅓𓇋,13153　131CB
36,も,𓅓𓍯,13153　1336F
37,ら,𓂋𓄿,1308B　1313F
38,り,𓂋𓇌,1308B　131CC
39,る,𓂋𓅱,1308B　13171
40,れ,𓂋𓇋,1308B　131CB
41,ろ,𓂋𓍯,1308B　1336F
42,や,𓇌𓄿,131CC　1313F
43,ゆ,𓇌𓅱,131CC　13171
44,よ,𓇌𓍯,131CC　1336F
45,わ,𓅱𓄿,13171　1313F
46,を,𓍯,1336F
47,ん,𓈖,13216
48,が,𓎼𓄿,133BC　1313F
49,ぎ,𓎼𓇌,133BC　131CC
50,ぐ,𓎼𓅱,133BC　13171
51,げ,𓎼𓇋,133BC　131CB
52,ご,𓎼𓍯,133BC　1336F
53,ざ,𓊃𓄿,13283　1313F
54,じ,𓆓𓇌,13193　131CC
55,ず,𓊃𓅱,13283　13171
56,ぜ,𓊃𓇋,13283　131CB
57,ぞ,𓊃𓍯,13283　1336F
58,だ,𓂩𓄿,130A9　1313F
59,ぢ,𓆓𓇌,13193　131CC
60,づ,𓂩𓅱,130A9　13171
61,で,𓂩𓇋,130A9　131CB
62,ど,𓂩𓍯,130A9　1336F
63,ば,𓃀𓄿,130C0　1313F
64,び,𓃀𓇌,130C0　131CC
65,ぶ,𓃀𓅱,130C0　13171
66,べ,𓃀𓇋,130C0　131CB
67,ぼ,𓃀𓍯,130C0　1336F
68,ぱ,𓊪𓄿,132AA 　1313F
69,ぴ,𓊪𓇌,132AA 　131CC
70,ぷ,𓊪𓅱,132AA 　13171
71,ぺ,𓊪𓇋,132AA 　131CB
72,ぽ,𓊪𓍯,132AA 　1336F
